col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,,,,,,"AGT KONSOGOU T1 (1,5m)",,
,,,,,Ouverture du tamis (mm),Masse de refus cumulés(g),Refus cumulés (%),Passants (%)
,,,,,25,0,0,100
,,,,,20,0,0,100
,,,,,16,0,0,100
,,,,,12.5,0,0.38,99.62
,,,,,10,0,1.19,98.44
,,,,,8,0,2.4,96.03
,,,,,6.3,0,2.28,93.76
,,,,,5,0,1.82,91.94
,,,,,4,1.03,1.43,90.5
,,,,,3.15,6.08,1.35,89.16
,,,,,2.5,14.8,1.1,88.05
,,,,,2,26.02,1.56,86.46
,,,,,1.6,36.86,2.18,84.31
,,,,,1.25,47.24,4.33,79.98
,,,,,1,54.26,4.04,75.94
,,,,,0.8,59.95,6.17,69.77
,,,,,0.63,64.08,4.46,65.31
,,,,,0.5,69.54,4.42,60.89
,,,,,0.4,74.24,2.96,57.94
,,,,,0.315,80.03,2.42,55.51
,,,,,0.25,87.44,1.71,53.8
,,,,,0.2,99.66,1.85,51.95
,,,,,0.16,114.69,1.47,50.48
,,,,,0.125,152.74,1.81,48.67
,,,,,0.1,181.82,1.55,47.12
,,,,,0.08,201.85,0.73,46.39
