col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
,,,,,,,AGT KONSOGOU T1 (2m),,
,,,,,,Ouverture du tamis (mm),Masse de refus cumulés(g),Refus cumulés (%),Passants (%)
,,,,,,25,0,0,100
,,,,,,20,0,0,100
,,,,,,16,0,0,100
,,,,,,12.5,0,0.23,99.77
,,,,,,10,0,0.27,99.5
,,,,,,8,0,0.99,98.51
,,,,,,6.3,0,2.25,96.25
,,,,,,5,0.83,1.74,94.52
,,,,,,4,2.01,2.16,92.36
,,,,,,3.15,3.58,3.2,89.16
,,,,,,2.5,6.3,2.52,86.64
,,,,,,2,9.43,3.07,83.57
,,,,,,1.6,12.7,3.96,79.61
,,,,,,1.25,16.16,4.92,74.69
,,,,,,1,18.79,3.98,70.72
,,,,,,0.8,21.47,3.79,66.93
,,,,,,0.63,23.54,2.89,64.04
,,,,,,0.5,26.75,2.92,61.13
,,,,,,0.4,29.32,1.93,59.2
,,,,,,0.315,32.48,1.62,57.58
,,,,,,0.25,35.87,1.13,56.45
,,,,,,0.2,40.89,1.12,55.33
,,,,,,0.16,46.28,0.94,54.39
,,,,,,0.125,55.21,1.21,53.19
,,,,,,0.1,62.78,0.79,52.39
,,,,,,0.08,68.85,0.3,52.09
