col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
,,,,,,,,"AGT KONSOGOU T2 (1,5m)",,
,,,,,,,Ouverture du tamis (mm),Masse de refus cumulés(g),Refus cumulés (%),Passants (%)
,,,,,,,25,0,0,100
,,,,,,,20,26.64,0,100
,,,,,,,16,34.05,0,100
,,,,,,,12.5,79.47,0.78,99.22
,,,,,,,10,130.79,2.46,96.77
,,,,,,,8,158.05,1.87,94.89
,,,,,,,6.3,187.65,2.6,92.29
,,,,,,,5,221.38,2.17,90.12
,,,,,,,4,256.43,0.99,89.13
,,,,,,,3.15,314.41,1.94,87.2
,,,,,,,2.5,368.92,1.12,86.07
,,,,,,,2,414.51,1.13,84.94
,,,,,,,1.6,454.69,2.29,82.65
,,,,,,,1.25,490.37,4.5,78.15
,,,,,,,1,515.88,4.01,74.15
,,,,,,,0.8,541.51,6.06,68.09
,,,,,,,0.63,568.42,4.53,63.56
,,,,,,,0.5,613.46,4.95,58.61
,,,,,,,0.4,656.31,3.49,55.12
,,,,,,,0.315,718.5,2.58,52.54
,,,,,,,0.25,790.35,1.83,50.7
,,,,,,,0.2,884.16,1.89,48.82
,,,,,,,0.16,945.65,1.59,47.23
,,,,,,,0.125,1017.87,1.69,45.54
,,,,,,,0.1,1052.79,1.42,44.11
,,,,,,,0.08,1070.54,0.55,43.56
