col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,,,,,,AGT NASSABLE  (1m),,
,,,,,Ouverture du tamis (mm),Masse de refus cumulés(g),Refus cumulés (%),Passants (%)
,,,,,25,0,0,100
,,,,,20,0,0,100
,,,,,16,47.63,0,100
,,,,,12.5,64.95,0.25,99.75
,,,,,10,95.14,1.31,98.44
,,,,,8,107.62,2.49,95.95
,,,,,6.3,129.98,2.69,93.26
,,,,,5,155.88,1.19,92.07
,,,,,4,189.94,0.96,91.11
,,,,,3.15,231.66,0.82,90.3
,,,,,2.5,268.28,0.66,89.64
,,,,,2,304.03,1.18,88.46
,,,,,1.6,333.01,2.46,86
,,,,,1.25,364.16,3.91,82.1
,,,,,1,385.27,4.07,78.03
,,,,,0.8,404.7,5.91,72.12
,,,,,0.63,423.81,5.6,66.52
,,,,,0.5,455.55,6.25,60.27
,,,,,0.4,490.46,4.76,55.51
,,,,,0.315,538.7,3.49,52.02
,,,,,0.25,594.13,2.2,49.82
,,,,,0.2,649.18,2.5,47.32
,,,,,0.16,687.26,1.62,45.69
,,,,,0.125,759.27,1.81,43.89
,,,,,0.1,788.1,1.46,42.43
,,,,,0.08,808.7,0.64,41.79
