col_0,col_1,col_2,col_3,col_4,col_5
,Référence,quartiers,profondeurs,VBS,Interpretation
,1,Konsogou T1,1,0.99,sol sablo limoneux sensible a l'eau
,,Konsogou T1,1.5,0.99,sol sablo limoneux sensible a l'eau
,,Konsogou T1,2,0.97,sol sablo limoneux sensible a l'eau
,2,Konsogou T2,1,1.44,sol sablo limoneux sensible a l'eau
,,Konsogou T2,1.5,0.86,sol sablo limoneux sensible a l'eau
,,Konsogou T2,2,0.86,sol sablo limoneux sensible a l'eau
,3,Nassablé,1,0.82,sol sablo limoneux sensible a l'eau
,,Nassablé,1.5,0.7,sol sablo limoneux sensible a l'eau
,,Nassablé,2,0.87,sol sablo limoneux sensible a l'eau
,4,Kontongbongue,1,5.43,sol limoneux de plasticité moyenne
,,Kontongbongue,1.5,1.45,sol sablo limoneux sensible a l'eau
,,Kontongbongue,2,2.89,sol limoneux de plasticité moyenne
