n,localités,1,15,2,1,15,2
1,Katore,3.43,3.11,2.77,Moyen,Moyen,Moyen
2,Kpadapé,1.13,1.08,0.98,Faible,Faible,Faible
3,Kpimé ( Séva ),1.44,2.47,3.25,Faible,Faible,Moyen
4,Kpimé (Tomégbé),1.48,2.23,3.61,Faible,Faible,Moyen
5,Kpimé (Woumé ),1.5,1.89,3.59,Faible,Faible,Moyen
6,Kpodzi,1.13,1.16,1.17,Faible,Faible,Faible
7,Lavié Apédomé,1.03,1.11,1.48,Faible,Faible,Faible
8,Womé ( Cascade ),1.38,1.85,2.96,Faible,Faible,Moyen
9,Womé( Ville),"1,,59",2.34,3.59,Faible,Faible,Moyen
10,Zomayi,0.16,0.11,0.72,Faible,Faible,Faible
11,,,,,,,
