col_0,n,localités,1,15,2,1,15,2
,1,Adjengré ( Pounpoun),3,2.5,2.73,Moyen,Moyen,Moyen
,2,Agotivé,16.45,10.18,3.9,Très forte,Très forte,Moyen
,3,Anié,16.65,18.07,9.47,Très forte,Très forte,Très forte
,4,Apéyéyémé,16.65,18.07,9.47,Très forte,Très forte,Très forte
,5,Badomé,5.71,6.96,7.79,Moyen,Forte,Forte
,6,Kadambara,8.46,7.57,10.67,Très forte,Forte,Très forte
,7,Kamina Barrage,6.69,10.66,19.92,Forte,Très forte,Très forte
,8,Kamina Dakré,4.83,15.48,28.86,Moyen,Très forte,Très forte
,9,Kaniamboua ( Bago ),10.9,13.95,5.8,Très forte,Très forte,Moyen
,10,Nyamassila,8,4.8,7.33,Forte,Moyen,Forte
,11,Ountivou,9.01,11,20.16,Très forte,Très forte,Très forte
,12,Sotouboua ( Sondè ),5.26,6.34,6.74,Moyen,Forte,Forte
