col_0,col_1,col_2,col_3,col_4
,Ouverture des tamis (mm),Masse de  refus  cumulés  (g),refus  cumulés  (%),Passants  (%)
,25,0,0,100
,20,0,0,100
,16,12.4,0.53,99.47
,12.5,21.1,0.9,99.1
,10,45.1,1.93,98.07
,8,64.3,2.75,97.25
,6.3,129,5.52,94.48
,5,228.4,9.77,90.23
,4,323.7,13.85,86.15
,3.15,429.3,18.37,81.63
,2.5,548.6,23.47,76.52
,2,633.6,27.11,72.89
,1.6,719.3,30.78,69.22
,1.25,779.3,33.35,66.65
,1,860,38.8,63.2
,0.8,940,40.22,59.78
,0.63,1061,45.4,54.6
,0.5,1160.7,49.67,50.33
,0.4,1247.9,53.4,46.6
,0.315,1345.4,57.57,42.43
,0.25,1422.1,60.85,39.15
,0.2,1531.4,65.53,34.45
,0.16,1629.5,69.73,30.27
,0.125,1685.4,72.12,27.88
,0.1,1716.3,73.44,26.56
,0.08,1736.3,74.3,25.7
