col_0,col_1,col_2,col_3,col_4
Tableau A-6: Analyse granulométrie par tamisage ,,,,
,Ouverture des tamis (mm),Masse de  refus  cumulés  (g),refus  cumulés  (%),Passants  (%)
,16,12.4,0.53,99.47
,12.5,0,0,100
,10,16.6,0.67,99.33
,8,47.3,1.91,98.09
,6.3,102.8,4.15,96.85
,5,208.7,8.42,91.58
,4,644.5,25.99,74.01
,3.15,853.5,34.42,65.58
,2.5,1051.2,42.39,57.61
,2,1251.6,50.47,49.53
,1.6,1345.7,54.26,45.74
,1.25,1397.5,56.35,43.65
,1,1440.2,58.07,41.93
,0.8,1486.1,59.92,40.08
,0.63,1530.8,61.73,38.27
,0.5,1582.1,63.8,36.2
,0.4,1689,68.11,31.89
,0.315,1740.6,70.19,29.81
,0.25,1783,71.9,28.1
,0.2,1823.5,73.53,26.47
,0.16,1861.9,75.08,24.92
,0.125,1876.7,75.67,24.33
,0.1,1882.9,75.92,24.08
,0.08,1884.3,75.98,24.02
