col_0,col_1,col_2,col_3,col_4,col_5
,,Ouverture des tamis (mm),Passant par profondeur 1m,"Passant par profondeur 1,5m",Passant par profondeur 2m
,,25,100,98.63,100
,,20,100,98.63,100
,,100,100,98.24,100
,,12.5,100,97.85,100
,,10,100,96.78,99.87
,,8,99.63,95.62,99.66
,,6.3,99.45,94.38,99.47
,Analyse granulométrie par tamisage,5,99.19,92.5,99.28
,,4,98.81,90.84,98.92
,,3.15,98.25,88.13,97.94
,,2.5,97.2,84.46,96.97
,,2,95.98,80.54,95.21
,,1.6,93.92,76.36,92.34
,,1.25,91.4,71.68,88.85
,,1,88.23,65.82,84.42
,,0.8,84.69,60.98,80.29
,,0.63,79.91,55.2,74.85
,,0.5,75.68,51.28,69.91
,,0.4,72.3,47.7,66
,,0.315,68.18,43.45,61.72
,,0.25,65.04,40.45,57.93
,,0.2,59.33,33.49,53
,,0.16,53.7,32.88,47.81
,,0.125,51.12,31.9,45.58
,,0.1,49.85,31.09,44.46
,,0.08,48.54,30.28,43.27
