col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16
,,,,,,,,,,,,,Ouverture du tamis (mm),Masse de refus cumulés (g),Refus cumulés (%),Passants (%)
,,,,,,,,,,,,,Analyse granulométrique par tamisage,,,
,,,,,,,,,,,,,10,"0,00","0,00","100,00"
,,,,,,,,,,,,,8,"10,20","0,37","99,63"
,,,,,,,,,,,,,"6,3","15,00","0,55","99,45"
,,,,,,,,,,,,,5,"22,10","0,81","99,19"
,,,,,,,,,,,,,4,"32,80","1,19","98,81"
,,,,,,,,,,,,,"3,15","48,10","1,75","98,25"
,,,,,,,,,,,,,"2,5","76,80","2,80","97,20"
,,,,,,,,,,,,,2,"111,40","4,06","95,94"
,,,,,,,,,,,,,"1,6","166,90","6,08","93,92"
,,,,,,,,,,,,,"1,25","236,20","8,60","91,40"
,,,,,,,,,,,,,1,"323,20","11,77","88,23"
,,,,,,,,,,,,,"0,8","420,30","15,31","84,69"
,,,,,,,,,,,,,"0,63","551,40","20,09","79,91"
,,,,,,,,,,,,,"0,5","667,70","24,32","75,68"
,,,,,,,,,,,,,"0,4","760,30","27,70","72,30"
,,,,,,,,,,,,,"0,315","873,50","31,82","68,18"
,,,,,,,,,,,,,"0,25","959,70","34,96","65,04"
,,,,,,,,,,,,,"0,2","1116,40","40,67","59,33"
,,,,,,,,,,,,,"0,16","1271,00","46,30","53,70"
,,,,,,,,,,,,,"0,125","1341,80","48,88","51,12"
,,,,,,,,,,,,,"0,1","1376,50","50,15","49,85"
,,,,,,,,,,,,,"0,08","1412,70","51,46","48,54"
,,,,,,,,,,,,,Analyse granulométrique par sédimentométrie,,,
,,,,,,,,,,,,,"0,0671",-,-,"38,94"
,,,,,,,,,,,,,"0,0474",-,-,"31,70"
,,,,,,,,,,,,,"0,0331",-,-,"30,59"
,,,,,,,,,,,,,"0,0211",-,-,"29,48"
,,,,,,,,,,,,,"0,0150",-,-,"26,71"
,,,,,,,,,,,,,"0,0108",-,-,"24,48"
,,,,,,,,,,,,,"0,0077",-,-,"22,81"
,,,,,,,,,,,,,"0,0055",-,-,"21,10"
,,,,,,,,,,,,,"0,0032",-,-,
