col_0,col_1,col_2,col_3,col_4
,Ouverture des tamis (mm),Masse de  refus  cumulés  (g),refus  cumulés  (%),Passants  (%)
,25,0,0,100
,20,0,0,100
,16,8,0.28,99.72
,12.5,32.5,1.13,98.87
,10,142.1,4.95,95.05
,8,269.3,9.37,90.63
,6.3,453.5,15.78,94.22
,5,679.7,23.65,76.35
,4,879.8,30.62,69.38
,3.15,1039,36.16,63.84
,2.5,1173.8,40.85,59.15
,2,161.7,43.91,56.09
,1.6,1334.4,46.44,52.56
,1.25,1390.8,48.4,51.6
,1,1443.1,50.22,49.78
,0.8,1468.2,51.09,48.91
,0.63,1509.3,52.52,47.48
,0.5,1543.7,53.72,46.28
,0.4,1580.9,55.02,44.98
,0.315,1649.9,56.37,43.63
,0.25,1649.3,57.4,42.6
,0.2,1695.4,59,41
,0.16,1743.6,60.68,39.32
,0.125,1777.6,61.86,38.14
,0.1,1801,62.68,37.32
,0.08,1820,63.34,36.66
