col_0,col_1,col_2,col_3,col_4,col_5
Taleau 3-9: Résultats de classification,,,,,
,Localité/ Cantons  ,Profondeur (m),Classification HRB,Classification uité,classification d'après le bleu de méthylène
,Kévé,1,Sol  argileux,sol fin,Sol limoneux argileux
,Kévé,1.5,Sol  argileux,sol fin,Sol limoneux argileux
,Kévé,2,Sol  argileux,sol genu,Sol limoneux 
,Assahoum,1,Sol  argileux,sol genu,Sol limoneux 
,Assahoum,1.5,Gravier et  sable   limoneux  ou argileux,sol genu,Sol limoneux argileux
,Assahoum,2,Gravier et  sable   limoneux  ou argileux,sol genu,Sol limoneux argileux
,Badja,1,Sol  argileux,sol genu,Sol limoneux argileux
,Badja,1.5,Gravier et  sable   limoneux  ou argileux,sol genu,Sol limoneux argileux
,Badja,2,Sol  argileux,sol genu,Sol limoneux argileux
