col_0,col_1,col_2,col_3,col_4,col_5
,,,,%Passants,
,,Tamis(mm),Tamis 1m,"Tamis 1,5m",Tamis 2m
,,0.0591,0.4273,,
,,0.0423,0.3465,,
,,0.027,0.2658,,
,,0.0197,0.2254,,
,,0.0137,0.1446,,
,,0.0098,0.1042,,
,,0.0069,0.1042,,
,,0.0057,0.0643,,
,,0.004,0.0647,,
,,0.0033,0.0253,,
,,0.0028,0.0253,,
,,0.0023,0.023,,
,,0.0016,0.0609,,
,,0.0563,,1.2392,
,,0.0406,,1.0496,
,,0.0263,,0.7967,
,,0.0188,,0.6703,
,,0.0134,,0.5438,
,,0.0093,,0.7967,
,,0.0068,,0.4174,
,,0.0056,,0.3549,
,,0.0039,,0.3549,
,,0.0032,,0.3564,
,,0.0028,,0.294,
,,0.0023,,0.291,
,,0.0016,,0.285,
,,0.0565,,,1.8368
,,0.0402,,,1.7553
,,0.0256,,,1.6738
,,0.0183,,,1.5108
,,0.0131,,,1.3478
,,0.0093,,,1.378
,,0.0067,,,1.1033
,,0.0055,,,1.0218
,,0.0039,,,0.9419
,,0.0032,,,0.8613
,,0.0028,,,0.8613
,,0.0023,,,0.7798
,,0.0016,,,0.7757
