col_0,col_1,col_2,col_3,col_4,col_5
,,,,% Passants,
,,Tamis(mm),Tamis 1m,"Tamis 1,5m",Tamis 2m
,,0.0517,0.1088,,
,,0.0368,0.1026,,
,,0.0235,0.0902,,
,,0.0167,0.084,,
,,0.012,0.0716,,
,,0.0085,0.0654,,
,,0.006,0.0654,,
,,0.0049,0.0653,,
,,0.0035,0.0531,,
,,0.0029,0.0531,,
,,0.0025,0.047,,
,,0.002,0.0469,,
,,0.0014,0.0529,,
,,0.0484,,0.0824,
,,0.0344,,0.0788,
,,0.0219,,0.0751,
,,0.0157,,0.0678,
,,0.0112,,0.0642,
,,0.0079,,0.0605,
,,0.0056,,0.0568,
,,0.0046,,0.0569,
,,0.0033,,0.0532,
,,0.0027,,0.0496,
,,0.0023,,0.0497,
,,0.0019,,0.046,
,,0.0014,,0.0458,
,,0.0523,,,0.1034
,,0.0372,,,0.0986
,,0.0235,,,0.0986
,,0.0169,,,0.089
,,0.012,,,0.0842
,,0.0085,,,0.0794
,,0.0061,,,0.0796
,,0.005,,,0.0698
,,0.0035,,,0.0698
,,0.0029,,,0.0699
,,0.0025,,,0.0652
,,0.002,,,0.065
,,0.0014,,,0.0649
