col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7
,Tableau A-2-3 : Analyse granulométrique par sédimentation de l'argile bohou (2m),,,,,,
,,Analyse granulométrique par sédimentation,ouverture du tamis (mm),M.ref.partiels (g),M.ref.Cum. (g),Ref. part. %,Pas.Cum%
,,,0.066,              -,              -,              -,37.83
,,,0.0485,              -,              -,              -,32.51
,,,0.0352,              -,              -,              -,28.25
,,,0.0227,              -,              -,              -,25.59
,,,0.0133,              -,              -,              -,23.46
,,,0.0077,              -,              -,              -,22.4
,,,0.0048,              -,              -,              -,19.74
,,,0.0034,              -,              -,              -,18.68
,,,0.0028,              -,              -,              -,17.09
,,,0.0024,              -,              -,              -,16.55
,,,0.002,              -,              -,              -,15.49
,,,0.0014,              -,              -,              -,13.91
