col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7
,Tableau A-2-4 : Analyse granulométrique par sédimentation de l'argile DE Lama feing (1m),,,,,,
,,Analyse granulométrique par sédimentation,ouverture du tamis (mm),M.ref.partiels (g),M.ref.Cum. (g),Ref. part. %,Pas.Cum%
,,,0.0617,               -,               -,               -,66.07
,,,0.05,               -,               -,               -,35.2
,,,0.0363,               -,               -,               -,28.67
,,,0.023,               -,               -,               -,27.85
,,,0.0134,               -,               -,               -,26.22
,,,0.0077,               -,               -,               -,25.4
,,,0.0048,               -,               -,               -,22.14
,,,0.0034,               -,               -,               -,20.51
,,,0.0028,               -,               -,               -,19.69
,,,0.0024,               -,               -,               -,18.87
,,,0.002,               -,               -,               -,18.06
,,,0.0014,               -,               -,               -,15.61
