col_0,col_1,col_2,col_3,col_4,col_5
,Tableau 3-4: Analyse granulométrique par sedimentation de Lama Tchamdé,,,,
,Nature de l'analyse granulométrique,Ouverture du tamis 1(mm),passant 1 m,"passant 1,5 m",passant 2 m
,,0.0014,12.76,6.98,12.24
,,0.0021,14.57,7.64,13.67
,,0.0025,16.39,8.63,14.38
,,0.0029,16.99,8.96,15.1
,,0.0035,19.17,9.62,15.53
,,0.005,19.41,10.28,15.81
,,0.0081,20.01,10.94,17.96
,,0.0139,21.83,11.94,20.1
,,0.0238,21.21,13.26,23.67
,,0.0373,22.42,17.55,25.1
,,0.051,30.88,21.52,32.97
,,0.0645,46.6,25.95,55.12
