col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7
,"Tableau A-2-2 : Analyse granulométrique par tamisage de l'argile bohou (1,5m)",,,,,,
,,Analyse granulométrique par tamisage,ouverture du tamis (mm),M.ref.partiels (g),M.ref.Cum. (g),Ref. part. %,Pas.Cum%
,,,25,0,100,0,100
,,,20,23.69,23.69,1.74,98.26
,,,16,22.75,46.46,1.67,96.6
,,,12.5,37.08,83.63,2.72,93.88
,,,10,29.5,113.17,2.16,91.72
,,,8,27.65,140.85,2.03,89.69
,,,6.3,37.4,178.35,2.74,86.95
,,,5,39.04,217.57,2.86,84.09
,,,4,40.02,257.57,2.93,81.15
,,,3.15,45.46,303.14,3.33,77.82
,,,2.5,34.92,338.2,2.56,75.26
,,,2,30.3,368.57,2.22,73.04
,,,1.6,25.8,394.39,1.89,71.15
,,,1.25,23.92,418.32,1.75,69.4
,,,1,17.1,435.44,1.25,68.14
,,,0.8,17.43,452.86,1.28,66.87
,,,0.63,18.73,471.59,1.37,65.49
,,,0.5,29.1,500.6,2.13,63.36
,,,0.4,36.33,536.93,2.66,60.7
,,,0.315,48.79,585.66,3.58,57.12
,,,0.25,45.24,630.87,3.32,53.81
,,,0.2,62.64,694.16,4.57,49.24
,,,0.16,43.89,737,3.22,46.02
,,,0.125,56.96,793.91,4.17,41.85
,,,0.1,28.42,822.25,2.08,39.76
,,,0.08,17.49,835.62,1.28,38.48
