col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7
,"Tableau A-2-5: Analyse granulométrique par tamisage de l'argile DE Lama Feing (1,5m)",,,,,,
,,Analyse granulométrique par tamisage,ouverture du tamis (mm),M.ref.partiels (g),M.ref.Cum. (g),Ref. part. %,Pas.Cum%
,,,5,0,0,0,100
,,,4,1.03,1.03,0.07,99.93
,,,3.15,5.06,6.08,0.35,99.58
,,,2.5,8.56,14.8,0.59,98.99
,,,2,11.17,26.02,0.77,98.22
,,,1.6,10.78,36.86,0.74,97.47
,,,1.25,10.25,47.24,0.71,96.76
,,,1,7.01,54.26,0.48,96.28
,,,0.8,5.74,59.95,0.4,95.88
,,,0.63,4.32,64.28,0.3,95.59
,,,0.5,5.29,69.54,0.37,95.22
,,,0.4,4.66,74.24,0.32,94.9
,,,0.315,5.85,80.03,0.4,94.49
,,,0.25,7.38,87.44,0.51,93.98
,,,0.2,12.15,99.66,0.84,93.15
,,,0.16,11,114.69,0.76,92.39
,,,0.125,37.99,152.74,2.62,89.76
,,,0.1,29.13,181.82,2.01,87.75
,,,0.08,20.08,201.85,1.39,86.36
