col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
,,Echantillons,1m,1m,1m,1.5m,1.5m,1.5m,2m,2m,2m
,,N du picno,1,2,3,1,2,3,1,2,3
,,Sol sec ms (g),25,25.04,25.05,25.01,25,25.02,25,25,25
,,picno mp (g),42.52,44.95,49.76,44.32,49.7,43.31,44.74,44.65,41.35
,,picno + eau m'o (g),141.44,144.05,148.55,143.42,148.67,141.38,143.98,163.65,140.22
,,Temprérature de l'eau to  (°C) ,28,28.8,28.3,28.7,28.7,28.5,28.7,28.7,28.5
,,1ère correction dmo (g),0.176,0.196,0.183,0.194,0.194,0.189,0.194,0.194,-0.189
,,Masse corrigé mo = m'o + dmo (g),141.26,144.304,148.367,143.226,148.476,141.191,143.786,144.05,140.031
,,Picno + Ech. Sec m1 -mp (g),67.52,39.99,74.81,69.42,74.7,67.33,69.74,69.65,66.35
,,Calcul de l'Ech. Sec ms = m1 -mp (g),25,25.04,25.5,25.01,25,25.02,25,25,25
,,Picno + Ech. Sec + Eau m'2 (g),155.05,159.68,164.41,158.95,164.1,156.89,159.45,160,155.84
,,Température de la solution t2 (°C),29.8,29.9,29.9,29.9,29.8,29.9,29.9,29.8,29.9
,,2ème correction dm2 (g),0.223,0.226,0.226,0.226,0.223,0.226,0.226,0.223,-0.226
,,Masse corrigé m2 = m'2 + dm2 (g),156.827,159.454,164.184,158.724,163.877,156.664,159.24,160,1555
,,Poids spécifiques élémentaires Gs,2.65,2.532,2.713,2.629,2.604,2.621,2.615,2.762,2.492
,,,0.1184,0.1812,0.0628,0.0249,0.0163,0.0086,0.1479,0.2702,-0.1222
,,Moyenne,,2.6317,,,2.6187,,,2.6231,
