col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
,,Echantillons,1m,1m,1m,1.5m,1.5m,1.5m,2m,2m,2m
,,N du picno,1,2,3,1,2,3,1,2,3
,,Sol sec ms (g),25.01,25.13,25.11,25.04,25.07,25.03,25,25,25
,,picno mp (g),49.7,44.33,42.44,40.81,44.8,44.64,41.4,44.74,44.64
,,picno + eau m'o (g),148.63,143.42,141.25,140.25,144.71,143.69,140.25,144.11,143.69
,,Temprérature de l'eau to  (°C) ,28,27.7,28.7,29,28.9,28.9,28.6,28.1,28.6
,,1ère correction dmo (g),-0.176,-0.168,-0.194,-0.202,-0.199,-0.194,-0.191,-0.178,-0.191
,,Masse corrigé mo = m'o + dmo (g),148.454,143.252,141.056,140.048,143.911,143.496,140.059,143.932,143.499
,,Picno + Ech. Sec m1 -mp (g),74.71,69.46,67.55,66.37,69.81,69.67,66.37,69.81,69.67
,,Calcul de l'Ech. Sec ms = m1 -mp (g),25.01,25.13,25.11,25.56,25.01,25.03,24.97,25.07,25.03
,,Picno + Ech. Sec + Eau m'2 (g),163.7,158.71,156.58,155.64,159.65,159.32,155.64,159.65,159.32
,,Température de la solution t2 (°C),29.6,30,29.8,28.7,28.7,28.9,29.7,29.8,29.8
,,2ème correction dm2 (g),-0.216,-0.229,-0.223,-0.229,-0.229,-0.199,-0.221,-0.223,-0.223
,,Masse corrigé m2 = m'2 + dm2 (g),163.482,158.481,156.357,155.411,159.421,159.121,155.419,159.427,159.097
,,Poids spécifiques élémentaires Gs,200.506,2.538,2.56,2.507,2.633,2.661,2.598,2.618,2.654
,,,0.0326,0.0216,0.544,0.126,0.0287,0.1547,0.0199,0.0355,0.0554
,,Moyenne,,2.5345,,,2.6002,,2.6234,,
