col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
,,,,,,,OUVERTURE DU TAMIS (mm),masse de refus cumiles,refus cumiles(%),passant(%)
,,,,,,,8,0,0,100
,,,,,,,6.3,0,0,100
,,,,,,,5,0,0,100
,,,,,,,4,0,0,100
,,,,,,,3.15,0.12,0.01,99.99
,,,,Analyse granulometroique,,,2.5,1.89,0.13,99.86
,,,,par tamisage,,,2,7,0.37,99.5
,,,,,,,1.6,19.08,0.86,98.64
,,,,,,,1.25,35.66,1.19,97.45
,,,,,,,1,56.8,1.51,95.94
,,,,,,,0.8,83.67,1.92,94.02
,,,,,,,0.63,110.63,1.93,92.09
,,,,,,,0.5,155.32,3.2,88.89
,,,,,,,0.4,204.69,3.53,85.36
,,,,,,,0.315,271.9,4.81,80.56
,,,,,,,0.25,319.37,3.39,77.17
,,,,,,,0.2,373.59,3.88,73.29
,,,,,,,0.16,421.96,3.46,69.83
,,,,,,,0.125,471.17,3.52,66.31
,,,,,,,0.1,609.17,9.87,56.44
,,,,,,,0.08,739.17,9.3,47.15
