col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,,,,Tableau 3-5:Analyse granulometrique par tamisage et par sédimentometrie,,,,
,,,,,ouverture  du tamis (mm),passants par profondeur 1 m,"passants par profondeur  1,5 m",passants par profondeur  2 m
,,,,,8,100,100,100
,,,,,6.3,100,100,100
,,,,,5,99.98,100,100
,,,,,4,99.98,100,100
,,,,,3.15,99.97,99.99,99.99
,,Analyse granulometrique ,,,2.5,99.87,99.93,99.86
,,par tamisage,,,2,99.48,99.62,99.5
,,,,,1.6,98.63,98.8,98.64
,,,,,1.25,97.07,97.35,97.45
,,,,,1,95.53,95.85,95.94
,,,,,0.8,93.59,93.95,94.02
,,,,,0.63,91.49,91.86,92.09
,,,,,0.5,88.13,88.33,88.89
,,,,,0.4,84.94,84.84,85.36
,,,,,0.315,81.1,78.56,81.27
,,,,,0.25,77.35,74.92,77.88
,,,,,0.2,72.97,70.81,74
,,,,,0.16,69.42,68.07,70.54
,,,,,0.125,65.76,64.94,67.03
,,,,,0.1,60.54,59.97,63.38
,,,,,0.08,58.23,55.71,56.32
