col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12
,,,,,Tableau 3-5:Analyse granulometrique par tamisage et par sédimentometrie,,,,et par sédimentometrie de l'argile de Badomé,,,
,,,,,,,,passants par profondeur (%),,,,
,,,,,ouverture  du tamis (mm),,,,,,,
,,,,,,,,1 m,,"1,5 m",,2 m
,,,,,8,,,100,,100,,100
,,,,,6.3,,,99.7,,99.6,,99.71
,,,,,5,,,99.67,,99.43,,99.05
,,,,,4,,,99.4,,99.14,,98.63
,,,,,3.15,,,99.02,,98.55,,98.53
,,,Analyse granulometrique ,,2.5,,,98.68,,98.54,,97.96
,,,par tamisage,,2,,,98.25,,98.1,,97.56
,,,,,1.6,,,97.52,,97.69,,97.24
,,,,,1.25,,,96.47,,97.44,,94.52
,,,,,1,,,95.62,,97.27,,94.32
,,,,,0.8,,,94.72,,97.16,,93.49
,,,,,0.63,,,93.82,,96.25,,92.46
,,,,,0.5,,,91.3,,95.34,,91.3
,,,,,0.4,,,92.51,,94.69,,90.45
,,,,,0.315,,,89.74,,94.11,,89.52
,,,,,0.25,,,88.24,,93.67,,88.96
,,,,,0.2,,,86.43,,90.02,,88.41
,,,,,0.16,,,85.06,,85.23,,88.02
,,,,,0.125,,,83.46,,80.04,,87.66
,,,,,0.1,,,76.86,,70.14,,76.01
,,,,,0.08,,,71.93,,60.09,,67.12
