col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
,,,Tableau 3-5:Analyse granulometrique par tamisage et par sédimentometrie,,,,et par sédimentometrie de l'argile de Badomé,,,
,,,,,,passants par profondeur (%),,,,
,,,ouverture  du tamis (mm),,,,,,,
,,,,,,1 m,,"1,5 m",,2 m
,,,,8,,100,,100,,100
,,,,6.3,,100,,100,,100
,,,,5,,99.98,,100,,100
,,,,4,,99.98,,100,,100
,,,,3.15,,99.97,,99.99,,99.99
,,,,2.5,,99.87,,99.93,,99.86
,,,,2,,99.48,,99.62,,99.5
,Analyse granulometrique ,,,1.6,,98.63,,98.8,,98.64
,par tamisage,,,1.25,,97.07,,97.35,,97.45
,,,,1,,95.53,,95.85,,95.94
,,,,0.8,,93.59,,93.95,,94.02
,,,,0.63,,91.49,,91.86,,92.09
,,,,0.5,,88.13,,88.33,,88.89
,,,,0.4,,84.94,,84.84,,85.36
,,,,0.315,,81.1,,80.09,,80.56
,,,,0.25,,77.35,,75.73,,77.17
,,,,0.2,,72.97,,71.62,,73.29
,,,,0.16,,70.14,,68.88,,69.83
,,,,0.125,,67.2,,65.75,,66.31
,,,,0.1,,64.86,,59.35,,56.44
,,,,0.08,,60.61,,52.23,,47.15
