ouverture_du_tamismm,retained_pct,retained_pct,passing_pct
10,0,0,100
8,0,0,100
6.3,0,0,100
5,0,0,100
4,2.94,0.21,99.79
3.15,17.92,1.27,98.73
2.5,60.4,4.28,95.72
2,123.36,8.73,91.27
1.6,199.25,14.11,85.89
1.25,295.47,20.92,79.08
1,366.72,25.97,74.03
0.8,431.81,30.58,69.42
0.63,490.41,34.72,65.28
0.5,563.22,39.88,60.12
0.4,609.59,43.16,56.84
0.315,667.83,47.29,52.71
0.25,713.52,50.52,49.48
0.2,767.75,54.36,45.64
0.16,806.26,57.09,42.91
0.125,875.39,61.98,38.02
0.1,893.84,63.29,36.71
0.08,902.08,63.87,36.13
