ouverture_du_tamismm,retained_pct,retained_pct,passing_pct
10,0,0,100
8,0,0,100
6.3,0,0,100
5,0.27,0.02,99.98
4,0.73,0.05,99.95
3.15,4.66,0.33,99.67
2.5,13.38,0.96,99.04
2,27.01,1.94,98.06
1.6,48.41,3.47,96.53
1.25,76.48,5.48,94.52
1,101.97,7.31,92.69
0.8,130.97,9.39,90.61
0.63,162.32,11.64,88.36
0.5,209.18,14.99,85.01
0.4,245.53,17.6,82.4
0.315,298.44,21.39,78.61
0.25,345.54,24.77,75.23
0.2,405.85,29.09,70.91
0.16,474.85,34.04,65.96000000000001
0.125,571.86,40.99,59.01
0.1,612.58,43.91,56.09
0.08,633.83,45.43,54.57
