col_0,col_1,col_2,col_3,col_4,col_5,col_6
,,,Tamis,Masse de refus cumulées,Refus cumulés,Passants (%)
,,,20,59.62,4.16,95.84
,,,16,76.76,5.35,94.65
,,,12.5,72.82,5.08,94.92
,,,10,85.16,5.94,94.06
,,,8,90.78,6.33,93.67
,,,6.3,102.48,7.15,92.85
,,,5,109.15,7.61,92.39
,,,4,115.14,8.03,91.97
,,,3.15,120.67,8.41,91.59
,,,2.5,124.12,8.65,91.35
,,,2,126.04,8.79,91.21
,,,1.6,128.46,8.96,91.04
,,,1.25,130.83,9.12,90.88
,,,1,132.79,9.26,90.74
,,,0.8,134.97,9.41,90.59
,,,0.63,137.5,9.59,90.41
,,,0.5,142.12,9.91,90.09
,,,0.4,148.58,10.36,89.64
,,,0.315,160.56,11.2,88.8
,,,0.25,179.9,12.54,87.46
,,,0.2,217.79,15.19,84.81
,,,0.16,267.79,18.67,81.33
,,,0.125,392.5,27.37,72.63
,,,0.1,442.36,30.84,69.16
,,,0.08,482.23,33.62,66.38
