col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7
,Tamis ,Passants 1m,"Passants 1,5m",Passants 2m,,,
,0.0555,40.57,,,,,
,0.04,39.47,,,,,
,0.0305,37.82,,,,,
,0.0193,35.76,,,,,
,0.012,33.7,,,,,
,0.0069,31.91,,,,,
,0.0043,30.71,,,,,
,0.0036,28.61,,,,,
,0.0013,27.64,,,,,
,0.0563,,47.27,,,, 
,0.041,,38.98,,,,
,0.0315,,36.41,,,,
,0.02,,33.41,,,,
,0.012,,30.41,,,,
,0.0072,,27.99,,,,
,0.0046,,26.56,,,,
,0.0038,,24.99,,,,
,0.0014,,22.85,,,,
,0.0615,,,49.54,,,
,0.0445,,,46.62,,,
,0.0335,,,42.33,,,
,0.0218,,,37.06,,,
,0.013,,,32.18,,,
,0.0077,,,28.28,,,
,0.0049,,,26.33,,,
,0.004,,,23.8,,,
,0.0015,,,21.46,,,
