col_0,col_1,col_2,col_3,col_4,col_5
,,Tamis ,Passants 1m,"Passants 1,5m",Passants 2m
,,0.0555,42.92,,
,,0.041,40.01,,
,,0.0318,36.37,,
,,0.0203,32.01,,
,,0.0128,27.64,,
,,0.0075,24,,
,,0.0048,21.68,,
,,0.004,18.91,,
,,0.0015,14.11,,
,,0.0665,,48.98,
,,0.047,,45.64,
,,0.0348,,42.08,
,,0.0228,,37.85,
,,0.014,,32.73,
,,0.008,,25.6,
,,0.005,,21.82,
,,0.0045,,16.7,
,,0.0016,,10.02,
,,0.0563,,,59.28
,,0.041,,,56.27
,,0.0315,,,52.25
,,0.02,,,48.83
,,0.012,,,46.22
,,0.0072,,,41.2
,,0.0046,,,38.18
,,0.0038,,,33.76
,,0.0014,,,28.13
