mh,w,ms,col_3,col_4,col_5,col_6,col_7
700.23,1.22,691.79,,,,,
,,,Tamis,M. ref. (g),Ref. Cum. (g),Ref. Cum. (%),Pas. Cum. (%)
,,,40,0,0,0,100
,,,31.5,0,0,0,100
,,,20,0,0,0,100
,,,10,4.17,4.17,0.6,99.4
,,,5,28.8,32.97,4.77,95.23
,,,2.5,10.4,43.37,6.27,93.73
,,,1.25,9.51,52.88,7.64,92.36
,,,0.63,52.79,105.67,15.27,84.73
,,,0.315,136.41,242.08,34.99,65.01
,,,0.16,123.35,365.43,52.82,47.18
,,,0.08,63.53,428.96,62.01,37.99
,,,0.0525,,,,31.29
,,,0.0395,,,,28.85
,,,0.0315,,,,24.94
,,,0.0205,,,,21.03
,,,0.013,,,,17.6
,,,0.0076,,,,15.16
,,,0.0048,,,,13.69
,,,0.004,,,,12.22
,,,0.0015,,,,10.76
