mh,w,ms,col_3,col_4,col_5,col_6,col_7
700.25,4.24,671.75,,,,,
,,,Tamis,M. ref. (g),Ref. Cum. (g),Ref. Cum. (%),Pas. Cum. (%)
,,,40,0,0,0,100
,,,31.5,0,0,0,100
,,,20,0,0,0,100
,,,10,0,0,0,100
,,,5,1.33,1.33,0.2,99.8
,,,2.5,0.66,1.99,0.3,99.7
,,,1.25,4.44,6.43,0.96,99.04
,,,0.63,27.72,34.15,5.08,84.92
,,,0.315,85.85,120,17.86,82.14
,,,0.16,112.36,232.36,34.59,65.41
,,,0.08,69.76,302.12,44.98,55.02
,,,0.0665,,,,48.98
,,,0.047,,,,45.64
,,,0.0348,,,,42.08
,,,0.0228,,,,37.85
,,,0.014,,,,32.73
,,,0.008,,,,25.6
,,,0.005,,,,21.82
