col_0,sieve_mm,retained_pct,retained_pct,passing_pct
,25,0,0,100
,20,0,0,100
,16,0,0,100
,12.5,0,0,100
,10,3.95,3.95,99.72
,8,5.65,1.68,99.61
,6.3,8.64,2.98,99.4
,5,13.53,4.88,99.06
,4,20.73,7.16,98.55
,3.15,28.89,8.14,97.98
,2.5,35.43,6.58,97.52
,2,42.45,6.92,97.04
,1.6,49.67,7.23,96.53
,1.25,57.76,8.09,95.97
,1,65.43,7.68,95.43
,0.8,75.32,9.88,94.74
,0.63,90.69,15.35,93.66
,0.5,125.02,34.34,91.26
,0.4,147.68,22.6,89.68
,0.315,306.77,159.08,78.54
,0.25,371.61,70.81,73.59
,0.2,477.01,99.34,66.63
,0.16,513.7,36.67,64.06
,0.125,567.32,53.6,60.31
,0.1,582.16,14.88,59.27
,0.08,590.8,8.65,58.67
