col_0,col_1,col_2,col_3,col_4,col_5
,,Ouverture du tamis (mm),Masse de refus cumulés (g),Refus cumulés (%),Passants (%)
,,10,0,0,100
,,8,0,0,100
,,6.3,0.61,0.61,99.96
,,5,1.9,1.3,99.87
,,4,2.41,0.52,99.83
,,3.15,6.25,3.85,99.56
,,2.5,12.9,6.65,99.1
,,2,25.78,12.91,98.21
,,1.6,42.79,17.02,97.03
,,1.25,65.65,22.84,95.44
,,1,89.15,23.53,93.81
,,0.8,128.08,38.9,91.12
,,0.63,187,58.86,87.03
,,0.5,295.86,108.87,79.49
,,0.4,359.04,63.15,75.11
,,0.315,469.91,110.83,67.42
,,0.25,561.21,91.32,61.09
,,0.2,645.02,83.84,55.28
,,0.16,702.6,57.6,51.29
,,0.125,763.34,60.77,47.07
,,0.1,784.98,21.65,45.57
,,0.08,794.44,9.42,44.92
