col_0,col_1,col_2,col_3,col_4,col_5,col_6
,,,Ouverture tamis (mm),Passants par profondeur 1m ,"Passants par profondeur 1,5 m",Passants par profondeur 2 m
,,,25,100,100,100
,,,20,100,100,100
,,,16,100,100,99.06
,,,12.5,100,100,98.72
,,,10,100,99.72,98.34
,,,8,99.86,99.61,97.17
,,,6.3,99.43,99.4,96.52
,,,5,99.24,99.06,95.94
,,,4,98.91,98.55,95.33
,,,3.15,98.57,97.98,94.52
,,,2.5,98.25,97.52,93.74
,,,2,97.73,97.04,93.07
,,,1.6,97.26,96.53,92.43
,,,1.25,96.71,95.97,91.45
,,,1,96.18,95.43,90.72
,,,0.8,95.44,94.74,89.69
,,,0.63,94.35,93.66,87.88
,,,0.5,91.97,91.26,85.4
,,,0.4,90.01,89.68,82.36
,,,0.315,84.86,78.54,77.3
,,,0.25,78.58,73.59,71.79
,,,0.2,69.14,66.63,62.93
,,,0.16,65.82,64.06,58.51
,,,0.125,61.34,60.31,54.51
,,,0.1,59.77,59.27,52.39
,,,0.08,58.98,58.67,51.27
