col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7
,,,,,AGT KONSOGOU T1 (1m),,
,,,,Ouverture du tamis (mm),Masse de refus cumulés(g),Refus cumulés (%),Passants (%)
,,,,25,0,0,100
,,,,20,0,0,100
,,,,16,0,0,100
,,,,12.5,0,0,100
,,,,10,0,0.74,99.26
,,,,8,3.96,0.24,99.02
,,,,6.3,8.53,0.37,98.66
,,,,5,11.73,0.3,98.36
,,,,4,22.58,0.28,98.08
,,,,3.15,48.86,0.24,97.84
,,,,2.5,83.05,0.32,97.51
,,,,2,122.76,0.66,96.86
,,,,1.6,157.92,1.9,94.96
,,,,1.25,182.92,4.27,90.69
,,,,1,198.08,5.13,85.56
,,,,0.8,209.7,7.26,78.3
,,,,0.63,218.49,7.02,71.28
,,,,0.5,229.82,7.28,64
,,,,0.4,239.9,5.2,58.8
,,,,0.315,253.22,3.97,54.83
,,,,0.25,267.33,2.63,52.2
,,,,0.2,288.21,2.83,49.37
,,,,0.16,307.92,1.92,47.45
,,,,0.125,336.21,2.15,45.3
,,,,0.1,356.68,1.69,43.61
,,,,0.08,371.67,0.82,42.78
