col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,,,,,,AGT KONTONGBONGUE  (1m),,
,,,,,Ouverture du tamis (mm),Masse de refus cumulés(g),Refus cumulés (%),Passants (%)
,,,,,25,0,0,100
,,,,,20,0,0,100
,,,,,16,47.63,0,100
,,,,,12.5,64.95,0,100
,,,,,10,95.14,0,100
,,,,,8,107.62,0,100
,,,,,6.3,129.98,0.07,99.93
,,,,,5,155.88,0.03,99.9
,,,,,4,189.94,0.15,99.75
,,,,,3.15,231.66,0.47,99.28
,,,,,2.5,268.28,0.63,98.65
,,,,,2,304.03,0.82,97.84
,,,,,1.6,333.01,1.18,96.66
,,,,,1.25,364.16,1.5,95.15
,,,,,1,385.27,1.25,93.9
,,,,,0.8,404.7,1.58,92.32
,,,,,0.63,423.81,1.64,90.68
,,,,,0.5,455.55,2.26,88.42
,,,,,0.4,490.46,2.11,86.31
,,,,,0.315,538.7,1.92,84.39
,,,,,0.25,594.13,1.48,82.9
,,,,,0.2,649.18,2.03,80.88
,,,,,0.16,687.26,1.51,79.37
,,,,,0.125,759.27,1.98,77.39
,,,,,0.1,788.1,1.36,76.04
,,,,,0.08,808.7,0.65,75.39
