col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,,,,,,AGT NASSABLE  (2m),,
,,,,,Ouverture du tamis (mm),Masse de refus cumulés(g),Refus cumulés (%),Passants (%)
,,,,,25,0,0,100
,,,,,20,0,0,100
,,,,,16,12.42,0.83,99.17
,,,,,12.5,18.63,0.41,98.76
,,,,,10,32.64,0.93,97.82
,,,,,8,47.3,0.98,96.84
,,,,,6.3,66.04,1.25,95.59
,,,,,5,92.34,1.75,93.84
,,,,,4,125.5,2.21,91.63
,,,,,3.15,158.26,2.19,89.44
,,,,,2.5,187.6,1.96,87.49
,,,,,2,217.85,2.02,85.47
,,,,,1.6,256.97,2.61,82.86
,,,,,1.25,307.45,3.37,79.49
,,,,,1,353.51,3.07,76.42
,,,,,0.8,406.97,3.57,72.85
,,,,,0.63,457.47,3.37,69.48
,,,,,0.5,516.06,3.91,65.58
,,,,,0.4,560.11,2.94,62.64
,,,,,0.315,598.24,2.54,60.09
,,,,,0.25,622.73,1.63,58.46
,,,,,0.2,645.27,1.5,56.96
,,,,,0.16,662.7,1.16,55.79
,,,,,0.125,682.98,1.35,54.44
,,,,,0.1,696.94,0.93,53.51
,,,,,0.08,704.04,0.47,53.04
