col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7
,,,quartiers,profondeurs(m),classification HRB,classification unifiée,classification d'après le bleu de methylène
,,,Konsogou T1,1,sol argileux,sol fin,sol sablo limoneux sensible a l'eau
,,,Konsogou T1,1.5,sol argileux,sol fin,sol sablo limoneux sensible a l'eau
,,,Konsogou T1,2,sol argileux,sol fin,sol sablo limoneux sensible a l'eau
,,,Konsogou T2,1,sol argileux,sol fin,sol sablo argileux peu plastique
,,,Konsogou T2,1.5,sol argileux,sol fin,sol sablo limoneux sensible a l'eau
,,,Konsogou T2,2,sol argileux,sol fin,sol sablo limoneux sensible a l'eau
,,,Nassablé,1,sol argileux,sol fin,sol sablo limoneux sensible a l'eau
,,,Nassablé,1.5,gravier et sable limoneux ou argileux,sol grenu,sol sablo limoneux sensible a l'eau
,,,Nassablé,2,sol argileux,sol fin,sol sablo limoneux sensible a l'eau
,,,Kontongbongue,1,sol argileux,sol fin,sol limoneux de plasticité moyenne
,,,Kontongbongue,1.5,sol argileux,sol fin,sol limoneux de plasticité moyenne
,,,Kontongbongue,2,sol argileux,sol fin,sol limoneux de plasticité moyenne
