col_0,col_1,col_2,col_3,col_4,col_5
,Tableau 3-6: Résultats de l' analyse granulométrique du gravier concassées,,,,
,,Diamètres des tamis (mm),Masses des refus cumulés (g),Pourcentage de refus cumulés (%),Pourcentage de passants cumulés (%)
,,40,0,0,100
,,31.5,74.2,1.19,98.81
,,25,493.8,7.93,92.07
,,20,1213.2,19.49,80.51
,,10,2836.8,45.58,54.42
,,5,3595.7,57.77,42.23
,,2,4240,68.12,31.88
,,1,4600,73.91,26.09
,,0.5,4887.8,78.53,21.47
,,0.315,5082.5,81.66,18.34
,,0.2,5355.4,86.04,13.96
,,0.08,5647.3,90.73,9.27
