sondage_id,code,source,locality_extracted,matched_adm3,score,method,action,adm2,adm1
1434c64a-0d32-4e22-9dc3-973b51432358,KONTONGBONGUE,SOGLO Ferdinand,KONTONGBONGUE,,36.0,no_match,manual_required,,
305fe3fb-1530-43c6-a83f-50468c2fdc23,AO_S1,V10_MASTER_2026,AO,Aflao Gakli,100.0,exact,auto_apply,Golfe,Maritime
83775b44-5ca7-4214-ba6f-7fd3017654c9,AO_S10,V10_MASTER_2026,AO,Aflao Gakli,100.0,exact,auto_apply,Golfe,Maritime
86a3bda9-36d5-4193-8945-3d2301b38c23,AO_S2,V10_MASTER_2026,AO,Aflao Gakli,100.0,exact,auto_apply,Golfe,Maritime
89f97985-1de3-4a6f-8462-03216b388262,AO_S3,V10_MASTER_2026,AO,Aflao Gakli,100.0,exact,auto_apply,Golfe,Maritime
8777f15a-6b34-49fc-a5be-8b594d96fef5,AO_S4,V10_MASTER_2026,AO,Aflao Gakli,100.0,exact,auto_apply,Golfe,Maritime
c2a7b230-ff75-46f3-abd2-b5b8d69d233e,AO_S5,V10_MASTER_2026,AO,Aflao Gakli,100.0,exact,auto_apply,Golfe,Maritime
81cb5da3-6222-42f5-8f71-345933ab2dfe,AO_S6,V10_MASTER_2026,AO,Aflao Gakli,100.0,exact,auto_apply,Golfe,Maritime
99123fac-a21b-462f-afc5-25dbebe306d0,AO_S7,V10_MASTER_2026,AO,Aflao Gakli,100.0,exact,auto_apply,Golfe,Maritime
d661b946-f2e0-4c3d-aa61-63558361426e,AO_S8,V10_MASTER_2026,AO,Aflao Gakli,100.0,exact,auto_apply,Golfe,Maritime
f3c941dd-6966-48af-b8a0-e32c59cc8815,AO_S9,V10_MASTER_2026,AO,Aflao Gakli,100.0,exact,auto_apply,Golfe,Maritime
d027ce23-4860-4e48-9890-cd167dceeb61,BAF_F_S1,V10_MASTER_2026,BAF F,,36.0,no_match,manual_required,,
8e9c1ec8-5902-424f-92ac-f56ffa985771,BAF_F_S2,V10_MASTER_2026,BAF F,,36.0,no_match,manual_required,,
ebc40218-d3b7-47ee-a80e-33f4ca7cb534,BAF_F_S3,V10_MASTER_2026,BAF F,,36.0,no_match,manual_required,,
20bf5ccc-a233-46d2-a7f0-fef1981293a4,BAF_FD_S1,V10_MASTER_2026,BAF FD,,45.0,no_match,manual_required,,
61c21dcc-d0f2-4f8a-a226-b7822fca0253,BAF_FD_S2,V10_MASTER_2026,BAF FD,,45.0,no_match,manual_required,,
c375f80e-6474-4cb8-a2da-f66b4c990369,BAF_FD_S3,V10_MASTER_2026,BAF FD,,45.0,no_match,manual_required,,
66138426-2678-47ce-bac1-8c8bf4d6813f,CH_S1,V10_MASTER_2026,CH,Atchangbade,100.0,exact,auto_apply,Kozah,Kara
48232800-a9f4-44a7-b6be-d9c95e844bc5,CH_S10,V10_MASTER_2026,CH,Atchangbade,100.0,exact,auto_apply,Kozah,Kara
87083ffd-16b7-452d-80bc-84e372884351,CH_S2,V10_MASTER_2026,CH,Atchangbade,100.0,exact,auto_apply,Kozah,Kara
68c084a0-4e05-40e5-8a9d-d5b5392091bf,CH_S3,V10_MASTER_2026,CH,Atchangbade,100.0,exact,auto_apply,Kozah,Kara
8670d631-c7b5-4f5d-81e2-35254f9eb8fe,CH_S4,V10_MASTER_2026,CH,Atchangbade,100.0,exact,auto_apply,Kozah,Kara
b42a38f1-998c-470c-96f5-a8556f013792,CH_S5,V10_MASTER_2026,CH,Atchangbade,100.0,exact,auto_apply,Kozah,Kara
3eddbaf5-757a-4be2-b930-9141ce16067c,CH_S6,V10_MASTER_2026,CH,Atchangbade,100.0,exact,auto_apply,Kozah,Kara
f1ba1794-b9ac-4e1d-94cc-c12c656d1946,CH_S7,V10_MASTER_2026,CH,Atchangbade,100.0,exact,auto_apply,Kozah,Kara
36ba7292-5715-4a43-aac2-5873a131a34a,CH_S8,V10_MASTER_2026,CH,Atchangbade,100.0,exact,auto_apply,Kozah,Kara
d63c1e34-fe49-4bc9-9cd7-255984008e7d,CH_S9,V10_MASTER_2026,CH,Atchangbade,100.0,exact,auto_apply,Kozah,Kara
3758a6f7-85fc-4fd2-9fe7-5708ec73cb94,DZ_S1,V10_MASTER_2026,DZ,Adzakpa,100.0,exact,auto_apply,Agou,Plateaux
ced18432-d908-4505-8732-a4cc2f44b5f9,DZ_S2,V10_MASTER_2026,DZ,Adzakpa,100.0,exact,auto_apply,Agou,Plateaux
7f22e515-d57a-4ed9-bccf-2c8114b1b167,DZ_S3,V10_MASTER_2026,DZ,Adzakpa,100.0,exact,auto_apply,Agou,Plateaux
