id,sondage_id,depth_m,passant_80um,passant_2mm,passant_20mm,wl,wp,ip,vbs,gamma_d_max,w_opt,proctor_type,eg,test_date,laboratory,norm,meta,created_at,created_by,updated_at,updated_by,created_by_batch,updated_by_batch,deleted_by_batch,deleted_at
e9a11a5e-86b8-4006-aca6-9fa90a4c4813,8af1bad4-0fb4-4950-933f-0c64483e068a,1,,,,53,23,30,4.02,,,,,,,,{},2025-11-03 15:53:55.060,,,,,,,
bb21331e-1564-455e-ae57-ea52b96d7d3a,8af1bad4-0fb4-4950-933f-0c64483e068a,1.5,,,,48,21,27,3.61,,,,,,,,{},2025-11-03 15:53:55.060,,,,,,,
851f89a3-861b-4e3c-bcc2-912e16b57a29,8af1bad4-0fb4-4950-933f-0c64483e068a,2,,,,51,22,29,1.22,,,,,,,,{},2025-11-03 15:53:55.060,,,,,,,
61c9f297-9344-4acc-9899-4ea5ec23e251,4920ed1a-5697-4775-8963-98effa2614f8,1,,,,24,12,12,1.83,,,,,,,,{},2025-11-03 15:53:55.166,,,,,,,
1e8f096e-c072-4778-b65b-707e009f7943,4920ed1a-5697-4775-8963-98effa2614f8,1.5,,,,41,19,22,3.82,,,,,,,,{},2025-11-03 15:53:55.166,,,,,,,
79ad4fdb-d085-41fa-9a3b-16fd47003dfc,4920ed1a-5697-4775-8963-98effa2614f8,2,,,,42,22,20,2.64,,,,,,,,{},2025-11-03 15:53:55.166,,,,,,,
9550f8d5-2420-43b5-a239-35e2ed192a3b,f9736dfe-7027-444c-8ff7-9c802d055585,1,,,,49,18,31,4.6,,,,,,,,{},2025-11-03 15:53:55.170,,,,,,,
371acf9f-f628-4024-aa54-c80698b76339,f9736dfe-7027-444c-8ff7-9c802d055585,1.5,,,,53,18,35,4.03,,,,,,,,{},2025-11-03 15:53:55.170,,,,,,,
8face7b0-67b4-4769-a641-f4d2f641e357,f9736dfe-7027-444c-8ff7-9c802d055585,2,,,,51,17,34,5.03,,,,,,,,{},2025-11-03 15:53:55.170,,,,,,,
3542c298-6f20-405e-8e58-b975685a8a81,2c9a3c4e-316c-4fd5-b65e-20f815e0e865,1,,,,,,,,,,,,,,,"{'reference': 2.0, 'profondeursm': 1.0}",2025-11-03 16:20:04.011,,,,,,,
22727cbe-043c-4470-a425-a1a54f783134,9028feef-b123-4e3b-bc64-bf34bec9a2b7,1.5,,,,,,,,,,,,,,,{'profondeursm': 1.5},2025-11-03 16:20:04.049,,,,,,,
9a3b113e-75c3-49ab-b0db-f5f5fafa6616,454c8a62-7a49-4cf6-802c-ff25b5d4f442,2,,,,,,,,,,,,,,,{'profondeursm': 2.0},2025-11-03 16:20:04.053,,,,,,,
2af2c178-bc1d-410f-ba50-ec546ca0c2db,02a14bdf-d12f-4ddd-8185-c64e8eb60d80,1.5,,,,,,,,,,,,,,,{'profondeursm': 1.5},2025-11-03 16:20:04.057,,,,,,,
75ab2553-9f1a-4b35-8c9b-8a5b4c648473,9d464165-4c38-4bdd-a0c9-d0cded49c4c8,2,,,,,,,,,,,,,,,{'profondeursm': 2.0},2025-11-03 16:20:04.060,,,,,,,
d8b36eed-bfef-470f-b51f-1d324c5811cd,bdf99a8c-9406-4865-8411-9603b7a51612,1,,,,57.57,25.06,32.51,7.31,,,,,,,,"{'ip': 32.51, 'is': 0.171, 'reference': 1.0, 'profondeur': 1.0, 'profondeurm': 1.0, 'profondeursm': 1.0, 'teneur_en_eau': 9.82}",2025-11-03 16:20:04.067,,,,,,,
276b7d10-c3ac-4f62-9cf2-b8b83d02cf34,bdf99a8c-9406-4865-8411-9603b7a51612,1.5,,,,42.95,29.96,12.99,6.28,,,,,,,,"{'ip': 12.99, 'is': 0.241, 'reference': 1.0, 'profondeur': 1.5, 'profondeursm': 1.5, 'teneur_en_eau': 10.35}",2025-11-03 16:20:04.069,,,,,,,
c3baea71-7feb-4834-a121-f727f015d113,bdf99a8c-9406-4865-8411-9603b7a51612,2,,,,32.46,23.83,8.63,4.69,,,,,,,,"{'ip': 8.63, 'is': 0.247, 'reference': 1.0, 'profondeur': 2.0, 'profondeursm': 2.0, 'teneur_en_eau': 8.02}",2025-11-03 16:20:04.071,,,,,,,
