id,essai_id,densite_apparente_gcm3,densite_absolue_gcm3,teneur_eau_pct,source,measured_at,meta,created_at,updated_at,created_by,updated_by,created_by_batch,updated_by_batch,deleted_by_batch,deleted_at
0e765376-4702-4a67-af66-0a6d51ecc3e4,3542c298-6f20-405e-8e58-b975685a8a81,,2.47,,,,{},2025-11-03 16:20:04.011,2025-11-03 16:20:04.011,,,,,,
1b91bb7c-bb3e-44fc-837f-9327bcde7240,22727cbe-043c-4470-a425-a1a54f783134,,2.39,,,,{},2025-11-03 16:20:04.049,2025-11-03 16:20:04.049,,,,,,
cd24b30f-0037-4cd9-906d-3f0366d077cd,9a3b113e-75c3-49ab-b0db-f5f5fafa6616,,2.63,,,,{},2025-11-03 16:20:04.053,2025-11-03 16:20:04.053,,,,,,
66a59116-b5ae-422d-9768-1499186f413f,2af2c178-bc1d-410f-ba50-ec546ca0c2db,,2.51,,,,{},2025-11-03 16:20:04.057,2025-11-03 16:20:04.057,,,,,,
89eedd06-19c1-4295-a040-6cb46d62564c,75ab2553-9f1a-4b35-8c9b-8a5b4c648473,,2.57,,,,{},2025-11-03 16:20:04.060,2025-11-03 16:20:04.060,,,,,,
6d1674d6-10e8-476a-8f4e-535287ebf5d2,e9a11a5e-86b8-4006-aca6-9fa90a4c4813,1.28,2.49,14.61,,,{},2025-11-03 16:21:14.253,2025-11-03 16:21:14.253,,,,,,
15440fa9-4912-4060-8329-324240fc0809,bb21331e-1564-455e-ae57-ea52b96d7d3a,1.16,2.45,11.29,,,{},2025-11-03 16:21:14.253,2025-11-03 16:21:14.253,,,,,,
037e1b7f-7929-4ca3-b2e9-073fa39dc41c,851f89a3-861b-4e3c-bcc2-912e16b57a29,1.22,2.58,4.4,,,{},2025-11-03 16:21:14.253,2025-11-03 16:21:14.253,,,,,,
7dbae005-e377-4a8c-a61c-1128073115ed,61c9f297-9344-4acc-9899-4ea5ec23e251,1.31,2.44,10.66,,,{},2025-11-03 16:21:14.253,2025-11-03 16:21:14.253,,,,,,
44f2ecb6-df36-4575-abd2-f55ba6aa85ea,1e8f096e-c072-4778-b65b-707e009f7943,1.25,2.44,28.37,,,{},2025-11-03 16:21:14.253,2025-11-03 16:21:14.253,,,,,,
ce69f361-86c2-474a-88cb-8ec186eea27b,79ad4fdb-d085-41fa-9a3b-16fd47003dfc,1.33,2.58,20.97,,,{},2025-11-03 16:21:14.253,2025-11-03 16:21:14.253,,,,,,
90f182bb-8319-47d7-bf4b-b6bf1a3c35c1,9550f8d5-2420-43b5-a239-35e2ed192a3b,1.31,2.37,9.29,,,{},2025-11-03 16:21:14.253,2025-11-03 16:21:14.253,,,,,,
f52f47f9-50ae-4fb6-a507-c6e0166ab680,371acf9f-f628-4024-aa54-c80698b76339,1.32,2.35,14.44,,,{},2025-11-03 16:21:14.253,2025-11-03 16:21:14.253,,,,,,
85efe1cb-185b-4c1c-8e7b-9f61b10a0606,8face7b0-67b4-4769-a641-f4d2f641e357,1.5,2.31,20.65,,,{},2025-11-03 16:21:14.253,2025-11-03 16:21:14.253,,,,,,
b14455c1-e120-4e45-abfe-0cdc079bb15c,d8b36eed-bfef-470f-b51f-1d324c5811cd,,2.47,9.82,GAMBAGA Inoussa,,{},2025-11-03 16:35:23.069,2025-11-03 16:35:23.069,,,MD-20251103-02,,,
1b2c363e-ee1d-4505-b629-b1e45dcf556a,276b7d10-c3ac-4f62-9cf2-b8b83d02cf34,,2.39,10.35,GAMBAGA Inoussa,,{},2025-11-03 16:35:23.122,2025-11-03 16:35:23.122,,,MD-20251103-02,,,
