id,essai_id,sieve_mm,percent_passing,created_at,methode,meta,created_by_batch,deleted_by_batch,deleted_at
641281a3-a8ca-42f0-9251-6e6856bc99f4,61c9f297-9344-4acc-9899-4ea5ec23e251,25,100,2025-11-03 16:46:18.100,tamisage,{},MD-20251103-ADANDOGOU-FULL,,
c3a60f82-ff6f-4321-afc1-e039e7e9b935,61c9f297-9344-4acc-9899-4ea5ec23e251,20,100,2025-11-03 16:46:18.100,tamisage,{},MD-20251103-ADANDOGOU-FULL,,
bff0977d-8882-4840-9d9e-e7866ad98a15,61c9f297-9344-4acc-9899-4ea5ec23e251,12.5,99.92,2025-11-03 16:46:18.100,tamisage,{},MD-20251103-ADANDOGOU-FULL,,
c15d7670-78b3-4a8c-acee-092f4232876e,61c9f297-9344-4acc-9899-4ea5ec23e251,10,99.92,2025-11-03 16:46:18.100,tamisage,{},MD-20251103-ADANDOGOU-FULL,,
a58007eb-e204-422e-9dd6-5d9187c89a07,61c9f297-9344-4acc-9899-4ea5ec23e251,8,99.78,2025-11-03 16:46:18.100,tamisage,{},MD-20251103-ADANDOGOU-FULL,,
7ba97c28-c6bb-4eef-a355-6fc24b019837,61c9f297-9344-4acc-9899-4ea5ec23e251,6.3,99.46,2025-11-03 16:46:18.100,tamisage,{},MD-20251103-ADANDOGOU-FULL,,
826e79ab-6c63-4466-a4df-62911ba3b378,61c9f297-9344-4acc-9899-4ea5ec23e251,5,98.99,2025-11-03 16:46:18.100,tamisage,{},MD-20251103-ADANDOGOU-FULL,,
ede8a6df-2c18-4aad-8205-f87f6d351608,61c9f297-9344-4acc-9899-4ea5ec23e251,4,98.56,2025-11-03 16:46:18.100,tamisage,{},MD-20251103-ADANDOGOU-FULL,,
c6d60639-6575-450b-88b3-d1f0cf4fca27,61c9f297-9344-4acc-9899-4ea5ec23e251,3.15,98.09,2025-11-03 16:46:18.100,tamisage,{},MD-20251103-ADANDOGOU-FULL,,
e53dca96-47ad-4d1e-85a3-fcf220abf900,61c9f297-9344-4acc-9899-4ea5ec23e251,2.5,97.26,2025-11-03 16:46:18.100,tamisage,{},MD-20251103-ADANDOGOU-FULL,,
360ad1a5-fdcb-4dc3-bc9e-9a3c67a9242a,61c9f297-9344-4acc-9899-4ea5ec23e251,2,96.08,2025-11-03 16:46:18.100,tamisage,{},MD-20251103-ADANDOGOU-FULL,,
2f5693b1-06d9-4a2e-8836-4be13b8e7557,61c9f297-9344-4acc-9899-4ea5ec23e251,1.6,94.05,2025-11-03 16:46:18.100,tamisage,{},MD-20251103-ADANDOGOU-FULL,,
7d55b5dc-f433-4ac2-8baf-6f7e11fc5bec,61c9f297-9344-4acc-9899-4ea5ec23e251,1.25,91.62,2025-11-03 16:46:18.100,tamisage,{},MD-20251103-ADANDOGOU-FULL,,
7a13df8a-415a-4121-972f-33b778954742,61c9f297-9344-4acc-9899-4ea5ec23e251,1,88.57,2025-11-03 16:46:18.100,tamisage,{},MD-20251103-ADANDOGOU-FULL,,
030b3ff8-a90f-497b-92cb-9ae0c44676e5,61c9f297-9344-4acc-9899-4ea5ec23e251,0.8,84.98,2025-11-03 16:46:18.100,tamisage,{},MD-20251103-ADANDOGOU-FULL,,
91af6318-e8a5-4faf-b013-56704fe23bac,61c9f297-9344-4acc-9899-4ea5ec23e251,0.63,78.47,2025-11-03 16:46:18.100,tamisage,{},MD-20251103-ADANDOGOU-FULL,,
307d05f6-74ff-4c0b-b45f-419b38acc684,61c9f297-9344-4acc-9899-4ea5ec23e251,0.5,73.84,2025-11-03 16:46:18.100,tamisage,{},MD-20251103-ADANDOGOU-FULL,,
676e3255-9b55-41b0-921d-424661128095,61c9f297-9344-4acc-9899-4ea5ec23e251,0.4,68.26,2025-11-03 16:46:18.100,tamisage,{},MD-20251103-ADANDOGOU-FULL,,
