id,code_site,depth_m,sieve_mm,passants_pct,echantillon_id,created_at,updated_at
154,APEHEME,1,0.08,37.99,aad16678-8f7e-4fbc-8749-c70c486ab4cd,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
153,APEHEME,1,0.0525,31.29,aad16678-8f7e-4fbc-8749-c70c486ab4cd,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
152,APEHEME,1,0.0395,28.85,aad16678-8f7e-4fbc-8749-c70c486ab4cd,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
151,APEHEME,1,0.0315,24.94,aad16678-8f7e-4fbc-8749-c70c486ab4cd,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
150,APEHEME,1,0.0205,21.03,aad16678-8f7e-4fbc-8749-c70c486ab4cd,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
149,APEHEME,1,0.013,17.6,aad16678-8f7e-4fbc-8749-c70c486ab4cd,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
148,APEHEME,1,0.0076,15.16,aad16678-8f7e-4fbc-8749-c70c486ab4cd,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
147,APEHEME,1,0.0048,13.69,aad16678-8f7e-4fbc-8749-c70c486ab4cd,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
146,APEHEME,1,0.004,12.22,aad16678-8f7e-4fbc-8749-c70c486ab4cd,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
145,APEHEME,1,0.0015,10.76,aad16678-8f7e-4fbc-8749-c70c486ab4cd,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
162,APEHEME,1.5,0.08,50.58,749e1108-f46c-4d4f-98e8-a929476b3e65,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
161,APEHEME,1.5,0.057,46.77,749e1108-f46c-4d4f-98e8-a929476b3e65,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
160,APEHEME,1.5,0.0415,44.35,749e1108-f46c-4d4f-98e8-a929476b3e65,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
159,APEHEME,1.5,0.0318,41.45,749e1108-f46c-4d4f-98e8-a929476b3e65,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
158,APEHEME,1.5,0.02,39.03,749e1108-f46c-4d4f-98e8-a929476b3e65,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
157,APEHEME,1.5,0.012,36.45,749e1108-f46c-4d4f-98e8-a929476b3e65,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
156,APEHEME,1.5,0.0071,33.23,749e1108-f46c-4d4f-98e8-a929476b3e65,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
155,APEHEME,1.5,0.0046,31.45,749e1108-f46c-4d4f-98e8-a929476b3e65,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
168,APEHEME,2,0.08,50.24,1de47a0e-97e7-4577-972a-d5301acbaf4d,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
167,APEHEME,2,0.0623,45.09,1de47a0e-97e7-4577-972a-d5301acbaf4d,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
166,APEHEME,2,0.0445,43.23,1de47a0e-97e7-4577-972a-d5301acbaf4d,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
165,APEHEME,2,0.033,40.58,1de47a0e-97e7-4577-972a-d5301acbaf4d,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
164,APEHEME,2,0.021,36.97,1de47a0e-97e7-4577-972a-d5301acbaf4d,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
163,APEHEME,2,0.013,33.37,1de47a0e-97e7-4577-972a-d5301acbaf4d,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
176,DZOGBECOPE,1,0.08,47.9,fab2ea2d-f811-46a3-ab34-4a94dddc65f7,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
175,DZOGBECOPE,1,0.0555,42.82,fab2ea2d-f811-46a3-ab34-4a94dddc65f7,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
174,DZOGBECOPE,1,0.041,40.01,fab2ea2d-f811-46a3-ab34-4a94dddc65f7,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
173,DZOGBECOPE,1,0.0318,36.37,fab2ea2d-f811-46a3-ab34-4a94dddc65f7,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
172,DZOGBECOPE,1,0.0203,32.01,fab2ea2d-f811-46a3-ab34-4a94dddc65f7,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
171,DZOGBECOPE,1,0.0128,27.64,fab2ea2d-f811-46a3-ab34-4a94dddc65f7,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
170,DZOGBECOPE,1,0.0075,24,fab2ea2d-f811-46a3-ab34-4a94dddc65f7,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
169,DZOGBECOPE,1,0.0048,21.68,fab2ea2d-f811-46a3-ab34-4a94dddc65f7,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
184,DZOGBECOPE,1.5,0.08,55.02,b32aff41-73e6-488d-85fc-98623e164280,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
183,DZOGBECOPE,1.5,0.0665,48.98,b32aff41-73e6-488d-85fc-98623e164280,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
182,DZOGBECOPE,1.5,0.047,45.64,b32aff41-73e6-488d-85fc-98623e164280,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
181,DZOGBECOPE,1.5,0.0348,42.08,b32aff41-73e6-488d-85fc-98623e164280,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
180,DZOGBECOPE,1.5,0.0228,37.85,b32aff41-73e6-488d-85fc-98623e164280,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
179,DZOGBECOPE,1.5,0.014,32.73,b32aff41-73e6-488d-85fc-98623e164280,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
