id,code_site,depth_m,sieve_mm,mass_refus_cum_g,refus_cum_pct,passants_pct,echantillon_id,created_at,updated_at
344,APEHEME,1,40,0,0,100,aad16678-8f7e-4fbc-8749-c70c486ab4cd,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
343,APEHEME,1,31.5,0,0,100,aad16678-8f7e-4fbc-8749-c70c486ab4cd,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
342,APEHEME,1,20,0,0,100,aad16678-8f7e-4fbc-8749-c70c486ab4cd,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
341,APEHEME,1,10,4.17,0.6,99.4,aad16678-8f7e-4fbc-8749-c70c486ab4cd,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
340,APEHEME,1,5,28.8,4.77,95.23,aad16678-8f7e-4fbc-8749-c70c486ab4cd,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
339,APEHEME,1,2.5,10.4,6.27,93.73,aad16678-8f7e-4fbc-8749-c70c486ab4cd,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
338,APEHEME,1,1.25,9.51,7.64,92.36,aad16678-8f7e-4fbc-8749-c70c486ab4cd,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
337,APEHEME,1,0.63,52.79,15.27,84.73,aad16678-8f7e-4fbc-8749-c70c486ab4cd,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
336,APEHEME,1,0.315,136.41,34.99,65.01,aad16678-8f7e-4fbc-8749-c70c486ab4cd,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
335,APEHEME,1,0.16,123.35,52.82,47.18,aad16678-8f7e-4fbc-8749-c70c486ab4cd,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
334,APEHEME,1,0.08,63.53,62.01,37.99,aad16678-8f7e-4fbc-8749-c70c486ab4cd,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
333,APEHEME,1,0.0525,,,31.29,aad16678-8f7e-4fbc-8749-c70c486ab4cd,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
332,APEHEME,1,0.0395,,,28.85,aad16678-8f7e-4fbc-8749-c70c486ab4cd,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
331,APEHEME,1,0.0315,,,24.94,aad16678-8f7e-4fbc-8749-c70c486ab4cd,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
330,APEHEME,1,0.0205,,,21.03,aad16678-8f7e-4fbc-8749-c70c486ab4cd,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
329,APEHEME,1,0.013,,,17.6,aad16678-8f7e-4fbc-8749-c70c486ab4cd,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
328,APEHEME,1,0.0076,,,15.16,aad16678-8f7e-4fbc-8749-c70c486ab4cd,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
327,APEHEME,1,0.0048,,,13.69,aad16678-8f7e-4fbc-8749-c70c486ab4cd,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
326,APEHEME,1,0.004,,,12.22,aad16678-8f7e-4fbc-8749-c70c486ab4cd,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
325,APEHEME,1,0.0015,,,10.76,aad16678-8f7e-4fbc-8749-c70c486ab4cd,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
362,APEHEME,1.5,40,0,0,100,749e1108-f46c-4d4f-98e8-a929476b3e65,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
361,APEHEME,1.5,31.5,0,0,100,749e1108-f46c-4d4f-98e8-a929476b3e65,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
360,APEHEME,1.5,20,0,0,100,749e1108-f46c-4d4f-98e8-a929476b3e65,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
359,APEHEME,1.5,10,0,0,100,749e1108-f46c-4d4f-98e8-a929476b3e65,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
358,APEHEME,1.5,5,0.21,0.03,99.97,749e1108-f46c-4d4f-98e8-a929476b3e65,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
357,APEHEME,1.5,2.5,0.67,0.13,99.87,749e1108-f46c-4d4f-98e8-a929476b3e65,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
356,APEHEME,1.5,1.25,7.04,1.18,98.82,749e1108-f46c-4d4f-98e8-a929476b3e65,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
355,APEHEME,1.5,0.63,49.11,8.49,91.51,749e1108-f46c-4d4f-98e8-a929476b3e65,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
354,APEHEME,1.5,0.315,110.32,24.91,75.09,749e1108-f46c-4d4f-98e8-a929476b3e65,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
353,APEHEME,1.5,0.16,112.04,41.59,58.41,749e1108-f46c-4d4f-98e8-a929476b3e65,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
352,APEHEME,1.5,0.08,52.6,49.42,50.58,749e1108-f46c-4d4f-98e8-a929476b3e65,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
351,APEHEME,1.5,0.057,,,46.77,749e1108-f46c-4d4f-98e8-a929476b3e65,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
350,APEHEME,1.5,0.0415,,,44.35,749e1108-f46c-4d4f-98e8-a929476b3e65,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
349,APEHEME,1.5,0.0318,,,41.45,749e1108-f46c-4d4f-98e8-a929476b3e65,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
348,APEHEME,1.5,0.02,,,39.03,749e1108-f46c-4d4f-98e8-a929476b3e65,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
347,APEHEME,1.5,0.012,,,36.45,749e1108-f46c-4d4f-98e8-a929476b3e65,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
346,APEHEME,1.5,0.0071,,,33.23,749e1108-f46c-4d4f-98e8-a929476b3e65,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
345,APEHEME,1.5,0.0046,,,31.45,749e1108-f46c-4d4f-98e8-a929476b3e65,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
378,APEHEME,2,40,0,0,100,1de47a0e-97e7-4577-972a-d5301acbaf4d,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
377,APEHEME,2,31.5,0,0,100,1de47a0e-97e7-4577-972a-d5301acbaf4d,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
