id,code_site,depth_m,test_type,tare_no,nb_coups,poids_total_humide_g,poids_total_sec_g,poids_tare_g,poids_eau_g,poids_sol_sec_g,teneur_eau_pct,echantillon_id,created_at
5,KONSOGOU_T1,1,LL,1,32,53.03,49.53,32,3.5,17.53,19.97,9e06f859-5e05-45e9-82c2-76714d8109f7,2025-10-26 17:56:29.008
4,KONSOGOU_T1,1,LL,1,28,53,49,31,4,18,22.22,9e06f859-5e05-45e9-82c2-76714d8109f7,2025-10-26 17:56:29.008
3,KONSOGOU_T1,1,LL,1,24,50.07,46.57,32,3.5,14.57,24.02,9e06f859-5e05-45e9-82c2-76714d8109f7,2025-10-26 17:56:29.008
2,KONSOGOU_T1,1,LL,1,19,54,49,30,5,19,26.32,9e06f859-5e05-45e9-82c2-76714d8109f7,2025-10-26 17:56:29.008
1,KONSOGOU_T1,1,LL,1,15,50,46,32,4,14,28.57,9e06f859-5e05-45e9-82c2-76714d8109f7,2025-10-26 17:56:29.008
10,KONSOGOU_T1,1.5,LL,1,31,65,58.09,32,6.91,26.09,26.49,8d3b849f-efdd-4dd4-b244-e4cc4e92c203,2025-10-26 17:56:29.008
9,KONSOGOU_T1,1.5,LL,1,27,60.13,53.59,31,6.54,22.59,28.95,8d3b849f-efdd-4dd4-b244-e4cc4e92c203,2025-10-26 17:56:29.008
8,KONSOGOU_T1,1.5,LL,1,23,51,42.74,32,8.26,10.74,76.91,8d3b849f-efdd-4dd4-b244-e4cc4e92c203,2025-10-26 17:56:29.008
7,KONSOGOU_T1,1.5,LL,1,18,42.74,37.84,30,4.9,7.84,62.5,8d3b849f-efdd-4dd4-b244-e4cc4e92c203,2025-10-26 17:56:29.008
6,KONSOGOU_T1,1.5,LL,1,15,43,36.2,32,6.8,4.2,161.9,8d3b849f-efdd-4dd4-b244-e4cc4e92c203,2025-10-26 17:56:29.008
15,KONSOGOU_T1,2,LL,1,32,61.56,57.19,42.6,4.37,14.59,29.95,b734d3fa-e838-4c2c-8292-1785199b5fc3,2025-10-26 17:56:29.008
14,KONSOGOU_T1,2,LL,1,28,60.93,57.02,44.21,3.91,12.81,30.52,b734d3fa-e838-4c2c-8292-1785199b5fc3,2025-10-26 17:56:29.008
13,KONSOGOU_T1,2,LL,1,24,80.4,76.39,63.49,4.01,12.9,31.09,b734d3fa-e838-4c2c-8292-1785199b5fc3,2025-10-26 17:56:29.008
12,KONSOGOU_T1,2,LL,1,19,60.97,56.42,42.07,4.55,14.35,31.71,b734d3fa-e838-4c2c-8292-1785199b5fc3,2025-10-26 17:56:29.008
11,KONSOGOU_T1,2,LL,1,15,55.5,50.76,35.95,4.74,14.81,32.01,b734d3fa-e838-4c2c-8292-1785199b5fc3,2025-10-26 17:56:29.008
20,KONSOGOU_T2,1,LL,1,31,80.72,77.76,67.09,2.96,10.67,27.74,3c58aa2e-d8f1-4c61-9dfc-0ce646d35d6f,2025-10-26 17:56:29.008
19,KONSOGOU_T2,1,LL,1,27,83.3,80.43,70.09,2.87,10.34,27.76,3c58aa2e-d8f1-4c61-9dfc-0ce646d35d6f,2025-10-26 17:56:29.008
18,KONSOGOU_T2,1,LL,1,23,76.9,73.79,62.63,3.11,11.16,27.87,3c58aa2e-d8f1-4c61-9dfc-0ce646d35d6f,2025-10-26 17:56:29.008
17,KONSOGOU_T2,1,LL,1,18,56.56,53.73,43.63,2.83,10.1,28.02,3c58aa2e-d8f1-4c61-9dfc-0ce646d35d6f,2025-10-26 17:56:29.008
16,KONSOGOU_T2,1,LL,1,15,81.51,78.69,68.64,2.82,10.05,28.06,3c58aa2e-d8f1-4c61-9dfc-0ce646d35d6f,2025-10-26 17:56:29.008
25,KONSOGOU_T2,1.5,LL,1,31,69.81,65.46,44,4.35,21.46,20.27,6c6475c3-7c5d-4b39-8e0e-a0bd7f0c38c0,2025-10-26 17:56:29.008
24,KONSOGOU_T2,1.5,LL,1,27,63.21,58.64,38,4.57,20.64,22.14,6c6475c3-7c5d-4b39-8e0e-a0bd7f0c38c0,2025-10-26 17:56:29.008
23,KONSOGOU_T2,1.5,LL,1,23,71.21,66.21,45,5,21.21,23.57,6c6475c3-7c5d-4b39-8e0e-a0bd7f0c38c0,2025-10-26 17:56:29.008
22,KONSOGOU_T2,1.5,LL,1,19,93.44,87.65,65,5.79,22.65,25.56,6c6475c3-7c5d-4b39-8e0e-a0bd7f0c38c0,2025-10-26 17:56:29.008
21,KONSOGOU_T2,1.5,LL,1,15,78.15,72.82,53,5.33,19.82,26.89,6c6475c3-7c5d-4b39-8e0e-a0bd7f0c38c0,2025-10-26 17:56:29.008
30,KONSOGOU_T2,2,LL,1,29,79,73.21,48,5.79,25.21,22.97,7f95e75d-849d-4d75-ab74-f3fc359844ad,2025-10-26 17:56:29.008
29,KONSOGOU_T2,2,LL,1,26,81,75.3,52,5.7,23.3,24.46,7f95e75d-849d-4d75-ab74-f3fc359844ad,2025-10-26 17:56:29.008
28,KONSOGOU_T2,2,LL,1,22,61,51.62,45,9.38,6.62,141.69,7f95e75d-849d-4d75-ab74-f3fc359844ad,2025-10-26 17:56:29.008
27,KONSOGOU_T2,2,LL,1,18,93,86.46,64,6.54,22.46,29.12,7f95e75d-849d-4d75-ab74-f3fc359844ad,2025-10-26 17:56:29.008
26,KONSOGOU_T2,2,LL,1,15,78,71,48,7,23,30.43,7f95e75d-849d-4d75-ab74-f3fc359844ad,2025-10-26 17:56:29.008
35,NASSABLE,1,LL,1,31,69.33,64.3,43,5.03,21.3,23.62,de3fa24c-5c79-4969-a7a4-8df133d3cda4,2025-10-26 17:56:29.008
34,NASSABLE,1,LL,1,27,92,86.21,65,5.79,21.21,27.3,de3fa24c-5c79-4969-a7a4-8df133d3cda4,2025-10-26 17:56:29.008
33,NASSABLE,1,LL,1,23,77.77,71.65,50,6.12,21.65,28.27,de3fa24c-5c79-4969-a7a4-8df133d3cda4,2025-10-26 17:56:29.008
32,NASSABLE,1,LL,1,19,73.96,68.54,50,5.42,18.54,29.23,de3fa24c-5c79-4969-a7a4-8df133d3cda4,2025-10-26 17:56:29.008
31,NASSABLE,1,LL,1,15,88,81.04,58,6.96,23.04,30.21,de3fa24c-5c79-4969-a7a4-8df133d3cda4,2025-10-26 17:56:29.008
40,NASSABLE,1.5,LL,1,35,48.85,45.79,31.62,3.06,14.17,21.59,23b51260-b7c4-489f-bac9-ac361309416b,2025-10-26 17:56:29.008
39,NASSABLE,1.5,LL,1,30,49.77,46.57,32.07,3.2,14.5,22.07,23b51260-b7c4-489f-bac9-ac361309416b,2025-10-26 17:56:29.008
38,NASSABLE,1.5,LL,1,25,46.24,43.32,30.45,2.92,12.87,22.69,23b51260-b7c4-489f-bac9-ac361309416b,2025-10-26 17:56:29.008
37,NASSABLE,1.5,LL,1,20,50.83,47.22,31.71,3.61,15.51,23.28,23b51260-b7c4-489f-bac9-ac361309416b,2025-10-26 17:56:29.008
36,NASSABLE,1.5,LL,1,15,48.78,45.49,31.7,3.29,13.79,23.86,23b51260-b7c4-489f-bac9-ac361309416b,2025-10-26 17:56:29.008
45,NASSABLE,2,LL,1,35,60.68,57.16,43.65,3.52,13.51,26.05,e6beffb3-f375-4d87-9139-15658ac3e9a7,2025-10-26 17:56:29.008
44,NASSABLE,2,LL,1,30,79.48,75.78,62.33,3.7,13.45,27.51,e6beffb3-f375-4d87-9139-15658ac3e9a7,2025-10-26 17:56:29.008
43,NASSABLE,2,LL,1,25,84.2,79.92,65.3,4.28,14.62,29.27,e6beffb3-f375-4d87-9139-15658ac3e9a7,2025-10-26 17:56:29.008
42,NASSABLE,2,LL,1,20,79.85,75.7,62.18,4.15,13.52,30.7,e6beffb3-f375-4d87-9139-15658ac3e9a7,2025-10-26 17:56:29.008
41,NASSABLE,2,LL,1,15,81.64,76.16,59.1,5.48,17.06,32.12,e6beffb3-f375-4d87-9139-15658ac3e9a7,2025-10-26 17:56:29.008
50,KONTONGBONGUE,1,LL,1,30,62.76,57.78,49.95,4.98,7.83,63.6,2deea575-81e4-479c-a45c-6b4a128b338d,2025-10-26 17:56:29.008
49,KONTONGBONGUE,1,LL,1,26,62.13,56.3,47.23,5.83,9.07,64.28,2deea575-81e4-479c-a45c-6b4a128b338d,2025-10-26 17:56:29.008
48,KONTONGBONGUE,1,LL,1,23,50.83,46.69,40.4,4.14,6.29,65.82,2deea575-81e4-479c-a45c-6b4a128b338d,2025-10-26 17:56:29.008
47,KONTONGBONGUE,1,LL,1,19,78.46,73.21,65.57,5.25,7.64,68.72,2deea575-81e4-479c-a45c-6b4a128b338d,2025-10-26 17:56:29.008
46,KONTONGBONGUE,1,LL,1,15,52.84,48.06,42.88,4.78,5.18,92.28,2deea575-81e4-479c-a45c-6b4a128b338d,2025-10-26 17:56:29.008
55,KONTONGBONGUE,1.5,LL,1,32,67,58.84,41,8.16,17.84,45.74,984f9cf8-c15b-4c58-b4d9-eeec36153998,2025-10-26 17:56:29.008
54,KONTONGBONGUE,1.5,LL,1,28,88.83,81.25,65,7.58,16.25,46.65,984f9cf8-c15b-4c58-b4d9-eeec36153998,2025-10-26 17:56:29.008
53,KONTONGBONGUE,1.5,LL,1,24,80.44,71.26,52,9.18,19.26,47.66,984f9cf8-c15b-4c58-b4d9-eeec36153998,2025-10-26 17:56:29.008
52,KONTONGBONGUE,1.5,LL,1,19,74.03,64.16,44,9.87,20.16,48.96,984f9cf8-c15b-4c58-b4d9-eeec36153998,2025-10-26 17:56:29.008
51,KONTONGBONGUE,1.5,LL,1,15,70,60,40,10,20,50,984f9cf8-c15b-4c58-b4d9-eeec36153998,2025-10-26 17:56:29.008
60,KONTONGBONGUE,2,LL,1,35,54.14,50.4,40.42,3.74,9.98,37.47,50575c8c-9484-4c63-a8e0-4db44c626131,2025-10-26 17:56:29.008
59,KONTONGBONGUE,2,LL,1,30,58.59,54.36,43.37,4.23,10.99,38.49,50575c8c-9484-4c63-a8e0-4db44c626131,2025-10-26 17:56:29.008
58,KONTONGBONGUE,2,LL,1,25,81.49,77.53,67.46,3.96,10.07,39.32,50575c8c-9484-4c63-a8e0-4db44c626131,2025-10-26 17:56:29.008
57,KONTONGBONGUE,2,LL,1,20,59.73,55.36,44.61,4.37,10.75,40.65,50575c8c-9484-4c63-a8e0-4db44c626131,2025-10-26 17:56:29.008
56,KONTONGBONGUE,2,LL,1,15,62.07,56.18,41.99,5.89,14.19,41.51,50575c8c-9484-4c63-a8e0-4db44c626131,2025-10-26 17:56:29.008
