id,date_sondage,source,meta,code,depth_m_min,depth_m_max,maille_code,adm1_name,adm2_name,adm3_name,comment,created_at,updated_at,deleted_at,location_accuracy,is_geocoded,date,operator,notes,type_sol,location_mode,adm1_id,adm2_id,adm3_id,import_id,import_row_idx,loc_mode,geom_real,created_by_batch,updated_by_batch,deleted_by_batch,grid_code,localite_base,localite_key,geom_wkt
dda1e71b-8d0d-4c9e-b53f-877a6cf70da9,,bleu,{},BLEU-ASSAHOUN,,,,,,,,2025-11-03 18:31:09.044000,2025-11-03 18:31:09.044000,,exact,True,,,,,exact,,,,,,spread,,MD-20251103-BLEU-3-8,,,,ASSAHOUN,ASSAHOUN,
c45c3294-b93e-4277-b59e-3451c9d0998c,,bleu,{},BLEU-AKEPE,,,,Maritime,Ave,Akepe,,2025-11-03 18:31:09.044000,2025-11-04 11:35:56.403000,,exact,True,,,,,exact,,,,,,spread,,MD-20251103-BLEU-3-8,,,,AKEPE,AKEPE,
c9b8371f-8779-42e3-a087-7bbb44210dd9,,bleu,{},BLEU-BADJA,,,,Maritime,Ave,Badja,,2025-11-03 18:31:09.044000,2025-11-04 11:35:56.403000,,exact,True,,,,,exact,,,,,,spread,,MD-20251103-BLEU-3-8,,,,BADJA,BADJA,
9028feef-b123-4e3b-bc64-bf34bec9a2b7,,GAMBAGA Inoussa,{},GAMBAGA-INOUSSA-2.39,,,,,,,,2025-11-03 16:20:04.048000,2025-11-03 16:20:04.048000,,exact,True,,,,,exact,,,,,,spread,,,,,,GAMBAGA-INOUSSA-2.39,GAMBAGAINOUSSA239,
454c8a62-7a49-4cf6-802c-ff25b5d4f442,,GAMBAGA Inoussa,{},GAMBAGA-INOUSSA-2.63,,,,,,,,2025-11-03 16:20:04.051000,2025-11-03 16:20:04.051000,,exact,True,,,,,exact,,,,,,spread,,,,,,GAMBAGA-INOUSSA-2.63,GAMBAGAINOUSSA263,
2b414b5e-16dc-497a-9f68-2ad2f8d9e5f8,,NICABOU Ninsao Vianney,"{'code': 'APEHEME', 'localite': 'Apeheme'}",S-20251026-001,,,,,,,,2025-10-26 17:55:50.112000,2025-10-26 21:21:22.324000,,exact,True,,,,,exact,,,,,,spread,,,,,,S-20251026-001,S20251026001,
01180bd8-1132-4ad0-8b1b-b3a76d0b812c,,NICABOU Ninsao Vianney,"{'code': 'DZOGBECOPE', 'localite': 'Dzogbecope'}",S-20251026-003,,,,,,,,2025-10-26 17:55:50.112000,2025-10-26 21:21:22.324000,,exact,True,,,,,exact,,,,,,spread,,,,,,S-20251026-003,S20251026003,
db47ed3b-344e-4d62-81bb-9568a4f0cfe5,,NICABOU Ninsao Vianney,"{'code': 'TEKPO', 'localite': 'Tekpo'}",S-20251026-004,,,,,,,,2025-10-26 17:55:50.112000,2025-10-26 21:21:22.324000,,exact,True,,,,,exact,,,,,,spread,,,,,,S-20251026-004,S20251026004,
f07f4613-748c-4896-84f0-eb7456311131,,limite,{},LIMITE-ADJENGRE,,,,,,,,2025-11-03 18:11:42.358000,2025-11-03 18:11:42.358000,,exact,True,,,,,exact,,,,,,spread,,MD-20251103-LIMITE-COMPLET,,,,ADJENGRE,ADJENGRE,
428e3142-2ab4-4eec-be6b-3da56fd91bad,,limite,{},LIMITE-AGOTIVE,,,,,,,,2025-11-03 18:11:42.358000,2025-11-03 18:11:42.358000,,exact,True,,,,,exact,,,,,,spread,,MD-20251103-LIMITE-COMPLET,,,,AGOTIVE,AGOTIVE,
d1449b65-d311-4cf4-8148-dfe5337875c0,,limite,{},LIMITE-APEYEYEME,,,,,,,,2025-11-03 18:11:42.358000,2025-11-03 18:11:42.358000,,exact,True,,,,,exact,,,,,,spread,,MD-20251103-LIMITE-COMPLET,,,,APEYEYEME,APEYEYEME,
02a14bdf-d12f-4ddd-8185-c64e8eb60d80,,GAMBAGA Inoussa,{},GAMBAGA-INOUSSA-2.51,,,,,,,,2025-11-03 16:20:04.055000,2025-11-03 16:20:04.055000,,exact,True,,,,,exact,,,,,,spread,,,,,,GAMBAGA-INOUSSA-2.51,GAMBAGAINOUSSA251,
